bigeye|||Bigeyes have extremely large eyes adapted for nocturnal feeding.
savannah-monitor|||Savannah monitors can slow their metabolism so much that they can survive on as few as three large meals per year.
golden-digger-wasp|||Golden digger wasps paralyze grasshoppers and crickets to feed their larvae alive.
alpine-salamander|||Alpine Salamanders are entirely viviparous, giving birth to fully developed young rather than laying eggs.
ringed-caecilian|||Ringed Caecilians have a unique sensory organ called a tentacle that helps them detect prey underground.
cape-dwarf-chameleon|||Cape dwarf chameleons have independently moving eyes that can rotate 180 degrees, giving them a 360-degree field of vision.
emperor-dragonfly|||Emperor dragonflies can eat their own body weight in insects every day.
wood-frog|||Wood Frogs can survive being frozen solid, with up to 65% of their body water turning to ice.
marmalade-hoverfly|||Marmalade hoverflies migrate thousands of miles across Europe each year.
queen-angelfish|||Queen angelfish get their name from a dark blue ring on their forehead resembling a crown.
european-tree-frog|||European Tree Frogs have adhesive toe pads that allow them to climb smooth surfaces, including glass.
northern-cardinal|||Northern cardinal females also sing, which is rare among North American songbirds.
lacewing|||Lacewing larvae are called aphid lions and can each consume 200 aphids per week.
wheel-bug|||The wheel bug gets its name from the distinctive cogwheel-like crest on its thorax.
oceanic-whitetip-shark|||Oceanic whitetip sharks were responsible for more human casualties than any other species during World War II.
resurrection-butterfly|||The resurrection butterfly is considered a symbol of rebirth in Japanese culture.
lily-beetle|||Lily beetles are bright red, making them easy to spot on green leaves.
tundra-swan|||Tundra swans migrate up to 4,000 miles each way between Arctic breeding grounds and wintering areas.
fire-salamander|||Fire Salamanders were once believed to be born from fire and could extinguish flames with their cold bodies.
european-hornet|||European hornets are attracted to light and will often fly into homes at night.
immortal-jellyfish|||Can revert from its adult form back to its juvenile polyp stage, effectively reversing aging.
bullocks-oriole|||Bullocks orioles weave elaborate hanging pouch nests that dangle from tree branches.
sidewinder-rattlesnake|||Sidewinders move using a unique S-shaped locomotion that minimizes contact with hot desert sand.
orchid-mantis|||The orchid mantis looks so much like a flower that pollinators land directly on it.
alabama-red-bellied-cooter|||Alabama red-bellied cooters can bask for hours, using the sun to synthesize vitamin D3 for shell health.
panther-chameleon|||Chameleons change color primarily for communication and temperature regulation, not camouflage.
peacock-mantis-shrimp|||Can see 16 types of color receptors and perceives ultraviolet and polarized light.
yellow-headed-blackbird|||Male yellow-headed blackbirds defend small nesting territories within marshes, sometimes with multiple females.
california-kingsnake|||California kingsnakes are immune to rattlesnake venom and regularly prey upon rattlesnakes in the wild.
asian-giant-hornet|||The Asian giant hornet can decapitate an entire honeybee colony in hours.
swimming-crab|||Has paddle-shaped back legs that allow it to swim rapidly through the water.
french-angelfish|||French angelfish are often seen in monogamous pairs and travel together for life.
sailfish|||Sailfish are considered the fastest fish in the ocean, reaching speeds up to 68 mph.
painted-lady-butterfly|||Painted ladies migrate across the Sahara Desert and the Mediterranean Sea.
scarlet-macaw|||Scarlet macaws can live over 75 years in captivity and mate for life.
arctic-char|||Arctic char are the most northerly freshwater fish in the world.
tuskfish|||Tuskfish use rocks as anvils to crack open shellfish for food.
black-spiny-tailed-iguana|||The black spiny-tailed iguana is the fastest lizard in the world, capable of running at 21 mph.
pacific-sea-cucumber|||Is commercially harvested as a delicacy in Asian cuisine, known as beche-de-mer.
pine-siskin|||Pine siskins can carry salmonella bacteria without getting sick, which can be transmitted to backyard birds at feeders.
waterdog|||Waterdogs retain their external gills throughout their lives, a condition known as neoteny.
staghorn-coral|||Can grow up to 8 inches per year, making it one of the fastest-growing corals.
american-toad|||A single American Toad can eat up to 1,000 insects per day, making them excellent garden pest controllers.
flatwoods-salamander|||Flatwoods Salamanders have a distinctive dark crossband pattern that helps them camouflage on the forest floor.
common-cuttlefish|||Can hypnotize prey with rapidly changing color patterns.
field-cricket|||Male field crickets chirp by rubbing their wings together, and you can estimate temperature by counting chirps.
great-spangled-fritillary|||Fritillary caterpillars feed exclusively on violets, which is how the group got its name.
merlin|||Merlins were once known as pigeon hawks due to their habit of hunting pigeons.
mourning-cloak-butterfly|||The mourning cloak is one of the longest-lived butterflies and overwinters as an adult.
hyacinth-macaw|||The hyacinth macaw is the largest flying parrot in the world, with a wingspan over 4 feet.
boomslang|||Boomslang venom prevents blood clotting, causing victims to bleed from every orifice.
leatherjacket|||Leatherjackets have rough, sandpaper-like skin used by early settlers as sandpaper.
oriental-rat-flea|||The oriental rat flea was the primary vector of bubonic plague during the Black Death.
golden-trout|||Golden trout are the official state fish of California and are found only in a few remote streams.
blue-morpho-butterfly|||The morpho's blue color is not pigment but structural coloration from microscopic scales.
humboldt-squid|||Also called the jumbo squid or red devil for its aggressive nature.
mason-bee|||Mason bees are 100 times more efficient at pollinating than honeybees.
great-blue-heron|||Great blue herons can stand motionless for hours waiting for the perfect moment to strike prey.
barred-owl|||Barred owls are known for their distinctive call that sounds like Who cooks for you.
goliath-grouper|||Goliath groupers are so large they can weigh as much as a small car.
red-knot|||Red knots migrate up to 9,000 miles nonstop from the Arctic to the tip of South America.
clouded-monitor|||Clouded monitors are arboreal and have sharp claws that allow them to climb vertical tree trunks with ease.
cottonmouth|||Cottonmouths get their name from the white, cotton-like lining of their mouth, which they display as a warning.
black-widow-spider|||The black widow's venom is 15 times stronger than a rattlesnake's, but less is injected.
black-chinned-hummingbird|||The black chin of this hummingbird flashes brilliant purple when the light hits it at the right angle.
red-crossbill|||Red crossbills have uniquely crossed mandibles specifically adapted for extracting seeds from conifer cones.
long-toed-salamander|||Long-Toed Salamanders can have up to 13 toes on their hind feet, more than most salamanders.
compass-jellyfish|||Has distinctive brown V-shaped markings on its bell resembling a compass rose.
marbled-salamander|||Female Marbled Salamanders stay with their eggs and guard them until they hatch.
sand-dollar|||The petal-like pattern on its skeleton is actually five sets of tube feet used for breathing.
bay-scallop|||Can swim short distances by rapidly clapping its shell valves together.
firefly|||Firefly larvae glow too, and some produce light to deter predators.
spearer-mantis-shrimp|||Has barbed, spear-like appendages for impaling soft-bodied prey like fish.
african-penguin|||African penguins are sometimes called jackass penguins because they bray like donkeys.
tufted-puffin|||Tufted puffins can dive to depths of over 200 feet to catch fish.
american-grasshopper|||Bird grasshoppers are strong fliers and can travel significant distances during migrations.
weedy-seadragon|||Weedy seadragons carry their eggs on the male's tail until they hatch.
european-robin|||The European robin is a symbol of Christmas in Britain and appears on many holiday cards.
wool-carder-bee|||Wool carder bees scrape plant hairs to line their nests, hence their name.
walking-catfish|||Walking catfish can survive out of water for hours and use their pectoral fins to walk on land.
cane-toad|||Cane Toads were introduced to Australia in 1935 to control beetles but became one of the worst invasive species in the world.
cicada|||Periodical cicadas emerge in synchronized broods of billions after 13 or 17 years underground.
whooping-crane|||Whooping cranes were once down to only 15 birds in the wild, making them one of the rarest birds in North America.
boulengers-caecilian|||Boulenger's Caecilians have minute vestigial eyes that can detect light but not form images.
rusty-blackbird|||The rusty blackbird has declined by over 90% in the past 50 years, making it one of North Americas fastest declining birds.
foam-nest-frog|||Foam Nest Frogs create a frothy nest by beating their hind legs to whip up a foam that protects their eggs.
lesser-siren|||Lesser Sirens can breathe through their gills and also through their skin, and can survive drying by burrowing into mud.
portuguese-man-of-war|||Is actually a colony of four specialized organisms called zooids, not a single animal.
common-potoo|||Common potoos perch upright on branches during the day, looking exactly like a broken tree stump.
snakefly|||Snakefly larvae can crawl backwards at high speed to escape threats.
convict-cichlid|||Convict cichlids are devoted parents that aggressively defend their young.
black-skimmer|||The black skimmers lower bill is longer than its upper, allowing it to skim fish from the water surface.
atlantic-salmon|||Atlantic salmon can jump waterfalls and dams during their upstream spawning migration.
greylag-goose|||The greylag goose is the ancestor of most domestic goose breeds in Europe.
american-robin|||American robins can eat 14 feet of earthworms in a single day.
golden-poison-dart-frog|||A single Golden Poison Dart Frog carries enough toxin to kill 10 grown men.
sailfin-lizard|||Sailfin lizards can run across the surface of water for short distances using their flattened, fringed toes.
giant-tubeworm|||Has no mouth, stomach, or gut, relying entirely on symbiotic bacteria for nutrition.
black-fly|||Black fly swarms can be so dense that they suffocate livestock by blocking their airways.
sweat-bee|||Some sweat bees have metallic green or blue bodies that shimmer in the sunlight.
chinese-water-dragon|||Chinese water dragons can drop from heights of 40 feet and land safely on branches below.
biting-midge|||Biting midges, or no-see-ums, are so small they can pass through standard window screens.
american-avocet|||American avocets sweep their upturned bills side to side through water to catch tiny invertebrates.
mayfly|||Adult mayflies have vestigial mouthparts and cannot eat, living only long enough to mate.
swainsons-hawk|||Swainsons hawks migrate in massive flocks of hundreds of thousands from North America to South America.
mallard|||All domestic ducks are descendants of the wild mallard except for the muscovy duck.
chukar|||Chukars prefer running uphill to flying when escaping danger.
copperband-butterflyfish|||Copperband butterflyfish have a false eye spot near their tail to confuse predators.
brown-basilisk|||Brown basilisks can run across water using their long toes and fringed scales, earning them the nickname 'Jesus Christ lizard'.
dog-day-cicada|||Dog-day cicadas get their name because they emerge during the dog days of summer.
american-crocodile|||American crocodiles are more tolerant of saltwater than alligators, which is why they are found in coastal habitats.
squirrelfish|||Squirrelfish have large eyes adapted for nocturnal hunting.
leather-star|||Has a smooth, leathery texture unlike the rough surface of most sea stars.
splashback-poison-frog|||Splashback Poison Frogs get their name from their colorful backs that look like paint splashes.
desert-rain-frog|||Desert Rain Frogs let out a high-pitched squeak when threatened, sounding like a dog toy.
cockatoo-squid|||Inflates its body with seawater to appear larger and more intimidating to predators.
white-tailed-kite|||White-tailed kites can hover in place for extended periods while scanning the ground for prey.
angel-shark|||Angel sharks can bury themselves completely in sand to ambush passing prey.
spider-tortoise|||Spider tortoises are named for the radiating yellow lines on their shells that resemble a spider's web.
blenny|||Midas blennies often join schools of cleaner wrasses to avoid predation.
brazilian-rainbow-boa|||Brazilian rainbow boas have iridescent scales that create a holographic rainbow effect when exposed to light.
west-african-dwarf-crocodile|||West African dwarf crocodiles are the most terrestrial of all crocodilians and dig deep burrows to rest in during the day.
slender-salamander|||Slender Salamanders can coil into a tight spiral to conserve moisture.
bullet-ant|||The bullet ant's sting is rated as the most painful insect sting in the world.
eastern-water-dragon|||Eastern water dragons can swim underwater for up to 90 minutes, closing a special membrane to keep water out of their eyes.
blue-ringed-octopus|||Its venom contains tetrodotoxin, potent enough to kill 26 humans.
false-water-cobra|||False water cobras flatten their necks like true cobras when threatened, despite being only mildly venomous.
snow-crab|||Can tolerate near-freezing water temperatures as low as 0.5 degrees Celsius.
sea-whip|||Some species produce a compound used in cancer research.
pine-grosbeak|||Pine grosbeaks are one of the tamest boreal birds, often allowing close approach.
long-spined-sea-urchin|||Spines can be over a foot long and are mildly venomous.
brown-pelican|||Brown pelicans can dive from heights of over 60 feet to catch fish, with air sacs cushioning the impact.
rhinoceros-iguana|||Rhinoceros iguanas get their name from the horn-like scales on their snouts, which resemble rhinoceros horns.
yellow-warbler|||Yellow warblers are one of the first songbirds to arrive on their breeding grounds in spring.
cave-salamander|||Cave Salamanders can climb vertical rock faces using their specialized toe pads.
basking-shark|||Basking sharks are the second largest fish in the world, after whale sharks.
tarantula|||Tarantulas urinate from their fangs, using digestive fluid rather than water.
mississippi-kite|||Mississippi kites eat enormous quantities of cicadas and other insects caught in mid-air.
bot-fly|||Bot fly larvae develop under human skin, creating painful boils called myiasis.
slate-pencil-urchin|||Has thick, blunt spines that were historically used as writing instruments.
deathstalker-scorpion|||The deathstalker's venom contains compounds being researched for use in cancer treatment.
body-louse|||Body lice have been used to track human migration patterns through DNA analysis.
ferruginous-hawk|||The ferruginous hawk is the largest North American hawk, with a wingspan over 5 feet.
silverfish|||Silverfish are among the most primitive wingless insects, virtually unchanged for 400 million years.
wood-duck|||Wood ducklings can jump from tree nests up to 50 feet high without injury.
bobtail-squid|||Harbors bioluminescent bacteria in a specialized light organ for counter-illumination camouflage.
keel-billed-toucan|||The toucans colorful bill is surprisingly lightweight, made mostly of keratin with a honeycomb structure.
nile-monitor|||Nile monitors are excellent swimmers and can hold their breath for up to an hour while submerged underwater.
lyrebird|||The lyrebird can mimic virtually any sound, including chainsaws, camera shutters, and car alarms.
gopher-tortoise|||Gopher tortoise burrows can be over 40 feet long and provide shelter for more than 350 other species.
carrion-beetle|||Carrion beetles can locate a dead animal from over a mile away using chemical sensors.
slipper-lobster|||Has distinctive plate-like antennae that resemble slipper soles.
horsefly|||Horse flies are among the fastest flying insects, reaching speeds up to 90 mph.
paper-wasp|||Paper wasps build their nests from chewed wood fibers mixed with saliva.
madagascar-hissing-cockroach|||Madagascar hissing cockroaches produce a loud hiss by forcing air through specialized breathing holes.
mozambique-spitting-cobra|||Mozambique spitting cobras can spit venom accurately up to 3 meters, targeting the eyes of threats.
carpenter-ant|||Carpenter ants do not eat wood but excavate it to create nesting galleries.
boxfish|||Boxfish can release a toxin when stressed that can kill other fish in an aquarium.
goliath-beetle|||Goliath beetles are among the heaviest insects in the world.
atolla-jellyfish|||Produces a pinwheel of bioluminescent light when attacked, known as a burglar alarm.
antarctic-krill|||Forms swarms of billions of individuals visible from space.
scorpionfish|||Scorpionfish are masters of camouflage, resembling algae-covered rocks on the reef.
vermilion-flycatcher|||The vermilion flycatcher is one of the most brilliantly colored flycatchers in the Western Hemisphere.
red-snapper|||Red snappers can live over 50 years, making them one of the longest-lived snapper species.
burrowing-owl|||Burrowing owls nest underground in burrows dug by prairie dogs or ground squirrels.
alligator-snapping-turtle|||Alligator snapping turtles have a worm-like appendage on their tongue that lures fish directly into their mouths.
whites-tree-frog|||White's Tree Frogs have fatty deposits above their eyes that look like eyebrows, giving them a perpetual smile.
oriental-cockroach|||Oriental cockroaches are sometimes called water bugs because they prefer damp, dark environments.
mormon-cricket|||Despite their name, Mormon crickets are actually shield-backed katydids, not true crickets.
blue-crab|||Named for its bright blue claws used in mating displays.
fried-egg-jellyfish|||Its bell closely resembles a fried egg, with a yellow center surrounded by white.
blood-belly-comb-jelly|||Produces brilliant red bioluminescence when disturbed.
osprey|||Ospreys have reversible outer toes that allow them to grasp fish with two toes in front and two behind.
sandhill-crane|||Sandhill cranes perform elaborate dances that include jumping, bowing, and tossing sticks.
soldierfish|||Soldierfish are nocturnal and hide in reef crevices during the day.
american-bullfrog|||American Bullfrogs can eat almost anything they can fit in their mouths, including other frogs, birds, and even snakes.
killdeer|||Killdeer perform a broken-wing act to lure predators away from their ground nests.
cecropia-moth|||The cecropia moth is the largest native moth in North America.
black-browed-albatross|||Black-browed albatrosses can sleep while flying over the ocean.
bed-bug|||Bed bugs can survive for over a year without feeding and are resistant to many pesticides.
sea-pen|||Is a colony of polyps anchored in sediment, with some species producing bioluminescent waves when disturbed.
snowy-tree-cricket|||The snowy tree cricket is known as the thermometer cricket because chirp rate correlates with temperature.
budgetts-frog|||Budgett's Frogs inflate their bodies and scream when threatened to appear larger and more intimidating.
giant-walking-stick|||The giant walking stick holds the record for the longest insect in the world.
cattle-bot-fly|||Cattle bot fly larvae attach to the tongues and throat of cattle, causing significant irritation.
goliath-frog|||The Goliath Frog is the largest living frog in the world, weighing up to 7 pounds and spanning over a foot long.
strawberry-poison-dart-frog|||The Strawberry Poison Dart Frog has over 30 color morphs, ranging from red with blue legs to green with yellow spots.
sea-hare|||Can release a cloud of purple ink when threatened, confusing predators.
little-blue-penguin|||Little blue penguins are the smallest penguin species, standing only about 13 inches tall.
mexican-beaded-lizard|||The Mexican beaded lizard is one of only a few venomous lizards and can deliver a painful, though rarely fatal, bite.
tree-swallow|||Tree swallows are one of the few North American songbirds that can digest berries, allowing them to migrate earlier in spring.
giant-plated-lizard|||Giant plated lizards wedge themselves into rock crevices and inflate their bodies, making them nearly impossible to extract.
atlantic-grouper|||Groupers can inhale prey whole by suddenly opening their massive mouths.
amazon-tree-boa|||Amazon tree boas are incredibly variable in color and pattern, with no two individuals looking exactly alike.
earwig|||Earwig mothers guard their eggs and clean them to prevent fungal growth.
musk-bee|||Musk bees produce a distinctive lemony scent when disturbed.
hooded-merganser|||Hooded mergansers have the largest crest relative to body size of any duck, which they raise and lower at will.
wandering-albatross|||The wandering albatross has the largest wingspan of any living bird, reaching over 11 feet.
purple-martin|||Purple martins are almost completely dependent on human-provided nest boxes in the eastern United States.
common-wall-lizard|||Common wall lizards have been introduced to North America from Europe and are now thriving in cities like Toronto and Vancouver.
tench|||Tench secrete a mucus that can heal wounds in other fish.
southern-stingray|||Southern stingrays can deliver a venomous barb sting that can cause severe pain.
stonefish|||Stonefish are the most venomous fish in the world, their sting can be fatal to humans.
hawk-moth|||Hawk moths are among the fastest flying insects, capable of hovering like hummingbirds.
argonaut|||Females create a paper-thin shell for egg protection, the only octopus to do so.
atlantic-puffin|||Puffins can carry 10 or more fish in their beaks at once thanks to specialized tongue and bill structures.
formosan-termite|||Formosan termites build carton nests above ground and can consume a foot of 2x4 lumber in about five months.
mud-crab|||Can grow to 5 pounds and has claws strong enough to sever a human finger.
palm-nut-vulture|||The palm-nut vulture is the only vulture species that feeds primarily on plant material, specifically palm fruits.
brown-tree-snake|||The brown tree snake has driven at least 10 bird species to extinction on Guam after accidentally introduced there.
banded-krait|||Banded kraits are twice as venomous as cobras and often cannibalize other snakes, including other kraits.
pacific-bluefin-tuna|||Pacific bluefin tuna can cross the entire Pacific Ocean in less than 60 days.
nassau-grouper|||Nassau grouper can change color in seconds to match their surroundings.
purple-sea-urchin|||Can bore into solid rock using its specialized jaw apparatus called Aristotle's lantern.
gulf-coast-salamander|||Gulf Coast Salamanders are one of the few salamander species that can tolerate slightly brackish water.
coconut-crab|||Has the strongest grip of any animal, strong enough to crack open coconuts.
parrotfish|||Parrotfish excrete digested coral as fine white sand, creating tropical beaches.
radiated-tortoise|||Radiated tortoises can live for over 100 years, with some individuals reportedly reaching 188 years of age.
black-vulture|||Black vultures have excellent eyesight and also use their sense of smell to locate carrion.
three-toed-amphiuma|||Three-Toed Amphiumas have vestigial legs that are so small they are almost impossible to see.
flower-urchin|||Covered in flower-like structures called pedicellariae that deliver a painful venom.
nurse-shark|||Nurse sharks can pump water over their gills while resting on the ocean floor.
coelacanth|||Coelacanths were thought to be extinct for 66 million years until rediscovered in 1938.
cowfish|||Longhorn cowfish have two horn-like spines protruding from their head.
harlequin-toad|||Many Harlequin Toad species were thought to be extinct until small populations were rediscovered in recent years.
cape-cobra|||Cape cobras are highly venomous and are responsible for the most snakebite deaths in southern Africa.
lion-paw-scallop|||Named for its ridged, colorful shell that resembles a lion's paw.
trunkfish|||Trunkfish can squirt a toxic substance from their skin when threatened.
masked-devil-cicada|||Some Australian cicada species have the loudest insect calls, exceeding 120 decibels.
asian-common-toad|||Asian Common Toads are extremely adaptable and thrive in human-modified environments across Southeast Asia.
colorado-potato-beetle|||The Colorado potato beetle is one of the most insecticide-resistant pests in the world.
four-toed-salamander|||Four-Toed Salamanders have only four toes on their hind feet, unlike most salamanders which have five.
red-eyed-tree-frog|||Red-Eyed Tree Frogs flash their bright red eyes to startle predators, giving them a chance to escape.
praying-mantis|||Praying mantises can rotate their heads 180 degrees to scan for prey.
crown-of-thorns-starfish|||Can consume up to 10 square feet of coral per year.
pacific-sea-nettle|||Its golden-brown bell and long trailing tentacles make it one of the most beautiful jellyfish.
florida-gar|||Florida gar have an elongated snout filled with needle-like teeth and can breathe air.
sharp-shinned-hawk|||The sharp-shinned hawk is the smallest hawk in North America, barely larger than a jay.
shingleback-skink|||Shingleback skinks mate for life and reunite with the same partner every breeding season.
common-shore-shrimp|||Can cling tightly to rocks to survive powerful wave action.
orb-weaver-spider|||Orb weavers rebuild their webs almost every night, consuming the old silk to recycle the proteins.
knifefish|||Black ghost knifefish use weak electric fields to navigate and find prey in dark, murky water.
dampwood-termite|||Dampwood termites are the largest North American termites and do not require soil contact.
giant-pacific-octopus|||Can change color and texture in milliseconds to blend with surroundings.
wild-turkey|||Wild turkeys can fly at speeds up to 55 mph and run at 25 mph.
arctic-tern|||Arctic terns migrate from Arctic to Antarctic and back each year, the longest migration of any animal, up to 44,000 miles.
chinook-salmon|||Chinook salmon are the largest of all Pacific salmon species.
human-head-louse|||Head lice have been companions of humans for at least 10,000 years.
common-crane|||Common cranes perform elaborate dances with jumping, bowing, and wing-flapping during courtship.
tropical-hermit-crab|||Some individuals live in groups of over 100, sharing shells in a chain.
blue-mussel|||Attaches to rocks using strong byssal threads, forming dense beds of thousands.
sunflower-sea-star|||Can have up to 24 arms and is one of the largest sea stars in the world.
sohal-surgeonfish|||Sohal surgeonfish are extremely territorial and will attack divers who enter their space.
pickerel-frog|||Pickerel Frogs produce a toxin that can irritate human skin and is lethal to other frogs.
german-cockroach|||German cockroaches can produce up to 30,000 offspring in a single year from one female.
tiger-shark|||Tiger sharks are known as the garbage cans of the sea because they eat almost anything.
japanese-spider-crab|||Has the largest leg span of any arthropod, up to 12 feet across.
northern-cuirassated-lizard|||Northern cuirassated lizards have bony armor plates called osteoderms that provide protection from predators.
striped-bass|||Striped bass are anadromous and can travel hundreds of miles to spawn.
red-drum|||Red drum are also called channel bass and are the official state fish of North Carolina.
laughing-kookaburra|||The laughing kookaburras call sounds exactly like echoing human laughter.
indo-pacific-horseshoe-crab|||Is the only horseshoe crab species found in Asian coastal waters.
mountain-chicken-frog|||Despite their name, Mountain Chicken Frogs are not chickens but are called so because their leg meat tastes like chicken.
gliding-tree-frog|||Gliding Tree Frogs can spread their enlarged toe pads and webbed feet to glide between trees.
greater-roadrunner|||Greater roadrunners can run at speeds up to 20 mph and can live without drinking water.
hover-fly|||Hover flies mimic bees and wasps for protection but are completely harmless.
thorny-devil|||Thorny devils have micro-channels in their skin that funnel water from any body part directly to their mouths.
walleye|||Walleye have a light-reflecting layer called the tapetum lucidum that makes their eyes glow at night.
cherry-tree-frog|||Cherry Tree Frogs can change color from bright green to brown depending on their surroundings.
bluegill|||Male bluegills build circular nests in shallow water and guard the eggs fiercely.
triggerfish|||Triggerfish have a spine on their dorsal fin that can be locked in an upright position.
russian-tortoise|||Russian tortoises can survive extreme temperatures by brumating underground for up to 6 months during harsh winters.
atlantic-surf-clam|||Can propel itself out of the sand using its muscular foot when disturbed.
glass-frog|||Glass Frogs have transparent abdominal skin that allows you to see their beating heart and internal organs.
ensatina|||Ensatina salamanders form a ring species around California's Central Valley, with different subspecies at each end.
red-sea-cucumber|||Uses tube feet along its underside to slowly crawl across the seafloor.
slimy-salamander|||Slimy Salamanders secrete a sticky, glue-like substance from their skin that is difficult to remove.
eastern-diamondback-rattlesnake|||The eastern diamondback rattlesnake's rattle can vibrate up to 50 times per second as a warning signal.
leafy-seadragon|||Leafy seadragons have no stomach or teeth and must eat almost constantly.
smallmouth-bass|||Smallmouth bass are known for their fighting ability and are called brownies or bronzebacks.
american-lobster|||Can live over 100 years and keep growing throughout its life.
giant-water-bug|||Giant water bugs are called toe-biters and can deliver an extremely painful bite.
elm-beetle|||Elm leaf beetles can enter homes through small cracks and hibernate indoors during winter.
crested-caracara|||Crested caracaras are members of the falcon family but behave more like vultures, often scavenging on carrion.
eastern-wood-pewee|||The eastern wood-pewees call is so distinctive that the species was named after its song.
weaver-ant|||Weaver ants use their own larvae as living glue guns to stitch leaves together.
american-kestrel|||American kestrels can see ultraviolet light, which helps them track the urine trails of rodents.
blue-coral|||The only reef-building coral with a blue skeleton, caused by iron salts in its skeleton.
sea-squirt-tunicate|||Is more closely related to vertebrates than most invertebrates, being a chordate.
gentoo-penguin|||Gentoo penguins are the fastest underwater swimming birds, reaching speeds of 22 mph.
evening-grosbeak|||Evening grosbeaks are irruptive migrants, showing up in large numbers far south of their normal range in some years.
hampire-poison-dart-frog|||Hampire Poison Dart Frogs are named after the Harry Potter character due to their striking black and orange pattern.
antlion|||Antlion larvae dig conical pit traps in sand to catch ants and other small insects.
baltimore-oriole|||Baltimore orioles weave intricate hanging nests that can take up to two weeks to build.
foureye-butterflyfish|||Foureye butterflyfish have large eye spots that make predators think their tail is their head.
tiger-salamander|||Tiger Salamanders are one of the longest-lived amphibians, with some individuals living over 20 years in captivity.
bearded-fireworm|||Has hollow, venom-filled bristles that cause intense burning pain on contact.
brook-trout|||Brook trout are the only trout native to much of eastern North America.
moon-jellyfish|||Can reproduce both sexually and asexually, allowing population explosions.
marsupial-frog|||Female Marsupial Frogs carry their eggs in a pouch on their back, similar to marsupial mammals.
common-brittle-star|||Can detach an arm to escape predators, later regenerating it.
giant-squid|||Was considered a mythical creature until first photographed alive in 2004.
white-throated-sparrow|||White-throated sparrows come in two color morphs that pair almost exclusively with each other.
alligator-gar|||Alligator gar eggs are toxic to humans but consumed by Native Americans after processing.
atlantic-krill|||Forms dense swarms that can extend for miles and contain trillions of individuals.
walking-stick|||Walking sticks can regenerate lost limbs during molts and some species produce toxic defensive chemicals.
tarantula-hawk-wasp|||The tarantula hawk has one of the most painful insect stings in the world.
mandarinfish|||Mandarinfish are one of only two vertebrates known to produce blue pigment.
forest-cobra|||The forest cobra is the largest true cobra species and an excellent swimmer, often found near water.
luna-moth|||Luna moths do not have mouths and cannot eat as adults, living only on stored energy.
fire-ant|||Fire ant colonies can form living rafts that float on water for weeks during floods.
